name,twitter,party,chamber,twitter_id
Polaczek Jerzy,JerzyPolaczek,Prawo i Sprawiedliwość,lower chamber,333347147
Polak Marek,,Prawo i Sprawiedliwość,lower chamber,
Polak Piotr,,Prawo i Sprawiedliwość,lower chamber,
Popiołek Krzysztof,,Prawo i Sprawiedliwość,lower chamber,
Rafalska Elżbieta,E_Rafalska,Prawo i Sprawiedliwość,lower chamber,369367937
Rębek Jerzy,,Prawo i Sprawiedliwość,lower chamber,
Rogacki Adam,rogackiadam,Prawo i Sprawiedliwość,lower chamber,87739459
Rojek Józef,,Prawo i Sprawiedliwość,lower chamber,
Rokita-Arnold Nelli,,Prawo i Sprawiedliwość,lower chamber,
Rusiecki Jarosław,,Prawo i Sprawiedliwość,lower chamber,
Ryniak Monika,,Prawo i Sprawiedliwość,lower chamber,
Sadurska Małgorzata,MaSadurska,Prawo i Sprawiedliwość,lower chamber,3317846813
Seliga Dariusz,,Prawo i Sprawiedliwość,lower chamber,
Sellin Jarosław,,Prawo i Sprawiedliwość,lower chamber,
Siarka Edward,,Prawo i Sprawiedliwość,lower chamber,
Sikora Anna,lsnienie,Prawo i Sprawiedliwość,lower chamber,1093354956
Smoliński Kazimierz,KaziSmolinski,Prawo i Sprawiedliwość,lower chamber,819102072993939456
Sobecka Anna,sobecka_anna,Prawo i Sprawiedliwość,lower chamber,907872543180193792
Sońta Krzysztof,KrzysztofSonta,Prawo i Sprawiedliwość,lower chamber,2865473439
Sprawka Lech,LechLsprawka,Prawo i Sprawiedliwość,lower chamber,3149109893
Stanke Piotr,,Prawo i Sprawiedliwość,lower chamber,
Stawiarski Jarosław,JarekStawiarski,Prawo i Sprawiedliwość,lower chamber,1050747794963791872
Strzałkowski Stefan,,Prawo i Sprawiedliwość,lower chamber,
Suski Marek,mareksuski,Prawo i Sprawiedliwość,lower chamber,82592599
Szarama Wojciech,,Prawo i Sprawiedliwość,lower chamber,
Szczypińska Jolanta,Jszczypinska,Prawo i Sprawiedliwość,lower chamber,
Szlachta Andrzej,andrzejszlachta,Prawo i Sprawiedliwość,lower chamber,1060795830
Szwed Stanisław,Stanislaw_Szwed,Prawo i Sprawiedliwość,lower chamber,3375651196
Szydło Beata,BeataSzydlo,Prawo i Sprawiedliwość,lower chamber,76979225
Szyszko Jan,,Prawo i Sprawiedliwość,lower chamber,
Śnieżek Adam,,Prawo i Sprawiedliwość,lower chamber,
Tchórzewski Krzysztof,,Prawo i Sprawiedliwość,lower chamber,
Telus Robert,RobertTelus,Prawo i Sprawiedliwość,lower chamber,522118879
Terlecki Ryszard,RyszardTerlecki,Prawo i Sprawiedliwość,lower chamber,370105716
Tobiszowski Grzegorz,tobiszowski,Prawo i Sprawiedliwość,lower chamber,1113740345559351297
Tołwiński Krzysztof,Ktolwinski,Prawo i Sprawiedliwość,lower chamber,
Ujazdowski Kazimierz Michał,kmujazdowski,Prawo i Sprawiedliwość,lower chamber,2791568826
Wargocka Teresa,TeresaWargocka,Prawo i Sprawiedliwość,lower chamber,4920211205
Warzecha Jan,,Prawo i Sprawiedliwość,lower chamber,
Wiązowski Waldemar,,Prawo i Sprawiedliwość,lower chamber,
Wiśniewska Jadwiga,j_wisniewska,Prawo i Sprawiedliwość,lower chamber,255941995
Wita Tadeusz,TadeuszWita,Prawo i Sprawiedliwość,lower chamber,985453129
Witek Elżbieta,elzbietawitek,Prawo i Sprawiedliwość,lower chamber,3159214282
Wojtkiewicz Michał,,Prawo i Sprawiedliwość,lower chamber,
Worach Sławomir,,Prawo i Sprawiedliwość,lower chamber,
Woźniak Tadeusz,Wozniak_Tadeusz,Prawo i Sprawiedliwość,lower chamber,1006939538
Wrona Waldemar,,Prawo i Sprawiedliwość,lower chamber,
Wróbel Marzena Dorota,,Prawo i Sprawiedliwość,lower chamber,
Zalewska Anna,_AnnaZalewska,Prawo i Sprawiedliwość,lower chamber,3354883925
Zarzycki Wojciech Szczęsny,,Prawo i Sprawiedliwość,lower chamber,
Zawiślak Sławomir,,Prawo i Sprawiedliwość,lower chamber,
Zbonikowski Łukasz,Lzbonikowski,Prawo i Sprawiedliwość,lower chamber,
Zieliński Jarosław,ZielinskiJaro,Prawo i Sprawiedliwość,lower chamber,3310934230
Zuba Maria,ZubaMaria,Prawo i Sprawiedliwość,lower chamber,888071871622782980
Żaczek Jarosław,,Prawo i Sprawiedliwość,lower chamber,
Ajchler Romuald,,Sojusz Lewicy Demokratycznej,lower chamber,
Aleksandrzak Leszek,,Sojusz Lewicy Demokratycznej,lower chamber,
Balicki Marek,,Sojusz Lewicy Demokratycznej,lower chamber,
Bańkowska Anna,annabankowska,Sojusz Lewicy Demokratycznej,lower chamber,282024023
Błochowiak Anita,,Sojusz Lewicy Demokratycznej,lower chamber,
Czykwin Eugeniusz,,Sojusz Lewicy Demokratycznej,lower chamber,
Garbowski Tomasz,zzzygzak_tgop,Sojusz Lewicy Demokratycznej,lower chamber,790303210053533696
Gołębiewski Henryk,,Sojusz Lewicy Demokratycznej,lower chamber,
Iwiński Tadeusz,TadeuszIwinski,Sojusz Lewicy Demokratycznej,lower chamber,2813373643
Janowska Zdzisława,,Sojusz Lewicy Demokratycznej,lower chamber,
Kalisz Ryszard,,Sojusz Lewicy Demokratycznej,lower chamber,
Kamiński Tomasz,KaminskiTomas,Sojusz Lewicy Demokratycznej,lower chamber,1167335366
Kasprzyk Jacek,,Sojusz Lewicy Demokratycznej,lower chamber,
Klepacz Witold,,Sojusz Lewicy Demokratycznej,lower chamber,
Kochanowski Jan,,Sojusz Lewicy Demokratycznej,lower chamber,
Kopyciński Sławomir,S_Kopycinski,Sojusz Lewicy Demokratycznej,lower chamber,not returned
Kotkowska Bożena,,Sojusz Lewicy Demokratycznej,lower chamber,
Kowalik Jacek,,Sojusz Lewicy Demokratycznej,lower chamber,
Krasoń Janusz,,Sojusz Lewicy Demokratycznej,lower chamber,
Kruszewski Zbigniew,,Sojusz Lewicy Demokratycznej,lower chamber,
Łybacka Krystyna,KrystynaLybacka,Sojusz Lewicy Demokratycznej,lower chamber,2341068978
Martyniuk Wacław,,Sojusz Lewicy Demokratycznej,lower chamber,
Matuszczak Zbigniew,,Sojusz Lewicy Demokratycznej,lower chamber,
Matwiejuk Jarosław,,Sojusz Lewicy Demokratycznej,lower chamber,
Milcarz Henryk,,Sojusz Lewicy Demokratycznej,lower chamber,
Motowidło Tadeusz,,Sojusz Lewicy Demokratycznej,lower chamber,
Napieralski Grzegorz,gnapieralski,Sojusz Lewicy Demokratycznej,lower chamber,129166436
Ostrowski Artur,OstrowskiArtur,Sojusz Lewicy Demokratycznej,lower chamber,531619424
Pawłowski Sylwester,awaredriver1,Sojusz Lewicy Demokratycznej,lower chamber,2944955434
Pomajda Wojciech,,Sojusz Lewicy Demokratycznej,lower chamber,
Prządka Stanisława,,Sojusz Lewicy Demokratycznej,lower chamber,
Rydzoń Stanisław,SRydzon,Sojusz Lewicy Demokratycznej,lower chamber,3850382182
Stec Stanisław,,Sojusz Lewicy Demokratycznej,lower chamber,
Streker-Dembińska Elżbieta,,Sojusz Lewicy Demokratycznej,lower chamber,
Szczepański Wiesław Andrzej,,Sojusz Lewicy Demokratycznej,lower chamber,
Tomaszewski Tadeusz,,Sojusz Lewicy Demokratycznej,lower chamber,
Wenderlich Jerzy,JerzyWenderlich,Sojusz Lewicy Demokratycznej,lower chamber,1388942863
Widacki Jan,,Sojusz Lewicy Demokratycznej,lower chamber,
Wikiński Marek,,Sojusz Lewicy Demokratycznej,lower chamber,
Wontor Bogusław,,Sojusz Lewicy Demokratycznej,lower chamber,
Wziątek Stanisław,,Sojusz Lewicy Demokratycznej,lower chamber,
Zakrzewska Elżbieta,,Sojusz Lewicy Demokratycznej,lower chamber,
Zbrzyzny Ryszard,Rzbrzyzny,Sojusz Lewicy Demokratycznej,lower chamber,
Borkowski Krzysztof,,Polskie Stronnictwo Ludowe,lower chamber,
Bury Jan s. Józefa,,Polskie Stronnictwo Ludowe,lower chamber,
Dutka Bronisław,BronislawDutka,Polskie Stronnictwo Ludowe,lower chamber,2427026412
Grzeszczak Eugeniusz,,Polskie Stronnictwo Ludowe,lower chamber,
Kalemba Stanisław,,Polskie Stronnictwo Ludowe,lower chamber,
Kamiński Jan,JanPKaminskiMD,Polskie Stronnictwo Ludowe,lower chamber,24703138
Kasprzak Mieczysław,KasprzakMiecz,Polskie Stronnictwo Ludowe,lower chamber,160846857
Kierzkowska Ewa,,Polskie Stronnictwo Ludowe,lower chamber,
Kłopotek Eugeniusz,eklopotek,Polskie Stronnictwo Ludowe,lower chamber,431204671
Krzyśków Adam,AdamKrzyskow,Polskie Stronnictwo Ludowe,lower chamber,972466553462587394
Łopata Jan,JanekLopata,Polskie Stronnictwo Ludowe,lower chamber,928228270759403520
Łuczak Mieczysław Marcin,,Polskie Stronnictwo Ludowe,lower chamber,
Maliszewski Mirosław,M_Maliszewski,Polskie Stronnictwo Ludowe,lower chamber,1063312908
Olas Stanisław,,Polskie Stronnictwo Ludowe,lower chamber,
Pałys Andrzej,,Polskie Stronnictwo Ludowe,lower chamber,
Pawlak Mirosław,,Polskie Stronnictwo Ludowe,lower chamber,
Pawlak Waldemar,pawlakwaldemar,Polskie Stronnictwo Ludowe,lower chamber,143817832
Piechociński Janusz,Piechocinski,Polskie Stronnictwo Ludowe,lower chamber,323177351
Racki Józef,,Polskie Stronnictwo Ludowe,lower chamber,
Rakoczy Stanisław,,Polskie Stronnictwo Ludowe,lower chamber,
Rygiel Wiesław,,Polskie Stronnictwo Ludowe,lower chamber,
Sawicki Marek,SawickiMarek,Polskie Stronnictwo Ludowe,lower chamber,362433298
Sławecki Tadeusz,TadeuszSlawecki,Polskie Stronnictwo Ludowe,lower chamber,1560113462
Sopliński Aleksander,,Polskie Stronnictwo Ludowe,lower chamber,
Starownik Marian,,Polskie Stronnictwo Ludowe,lower chamber,
Stefaniuk Franciszek Jerzy,,Polskie Stronnictwo Ludowe,lower chamber,
Sztorc Andrzej,,Polskie Stronnictwo Ludowe,lower chamber,
Walkowski Piotr,,Polskie Stronnictwo Ludowe,lower chamber,
Witaszczyk Stanisław,,Polskie Stronnictwo Ludowe,lower chamber,
Zych Józef,,Polskie Stronnictwo Ludowe,lower chamber,
Żelichowski Stanisław,,Polskie Stronnictwo Ludowe,lower chamber,
Dąbkowska-Cichocka Lena,,Polska jest Najważniejsza,lower chamber,
Dudziński Tomasz Mirosław,,Polska jest Najważniejsza,lower chamber,
Gawęda Adam,AdamGaweda,Polska jest Najważniejsza,lower chamber,972058994322935809
Hajda Kazimierz,,Polska jest Najważniejsza,lower chamber,
Jakubiak Elżbieta,,Polska jest Najważniejsza,lower chamber,
Karasiewicz Lucjan,LucjanK,Polska jest Najważniejsza,lower chamber,333258808
Mojzesowicz Wojciech,,Polska jest Najważniejsza,lower chamber,
Ołdakowski Jan,,Polska jest Najważniejsza,lower chamber,
Owczarski Zbysław,,Polska jest Najważniejsza,lower chamber,
Pilch Jacek,PilchJacek,Polska jest Najważniejsza,lower chamber,41358853
Poncyljusz Paweł,PawelPoncyljusz,Polska jest Najważniejsza,lower chamber,71850712
Religa Jan,,Polska jest Najważniejsza,lower chamber,
Sośnierz Andrzej,,Polska jest Najważniejsza,lower chamber,
Walkowiak Andrzej,,Polska jest Najważniejsza,lower chamber,
Wojciechowski Zbigniew,,Polska jest Najważniejsza,lower chamber,
Borowski Marek,MarekBorowski,Socjaldemokracja Polska,lower chamber,3434012787
Ciemniak Grażyna,GCiemniak,Socjaldemokracja Polska,lower chamber,3254449857
Sierakowska Izabella,,Socjaldemokracja Polska,lower chamber,
Atamańczuk Cezary,,,lower chamber,
Celiński Andrzej,AndrzejCelinski,,lower chamber,531224182
Chlebowski Zbigniew,,,lower chamber,
Cybulski Piotr,,,lower chamber,
Dorn Ludwik,LudwikDorn,,lower chamber,282583853
Filar Marian,,,lower chamber,
Galla Ryszard,Ryszard_Galla,,lower chamber,900247742865395712
Gintowt-Dziewałtowski Witold,,,lower chamber,
Grzegorek Krzysztof,,,lower chamber,
Komołowski Longin,,,lower chamber,
Kutz Kazimierz,,,lower chamber,
Lis Bogdan,,,lower chamber,
Szkop Władysław,,,lower chamber,
Węgrzyn Robert,,,lower chamber,
